frame.number,frame.time_epoch,frame.time_relative,frame.time_delta,frame.len,frame.cap_len,eth.src,eth.dst,ip.src,ip.dst,ip.proto,tcp.srcport,tcp.dstport,tcp.flags,tcp.len,tcp.window_size_value,tcp.checksum,tcp.stream,tcp.analysis.initial_rtt,tcp.time_delta,mqtt_present,mqtt_ctrl_type,mqtt_ctrl_name,mqtt_flags,mqtt_remaining_len,mqtt_qos,mqtt_keepalive,mqtt_payload_size
53,1758447755.036141,10.95226001739502,0.00013399124145507812,88,88,,,127.0.0.1,127.0.0.1,6,1883,59666,24,44,255,32012,,,0.00013399124145507812,True,3.0,PUBLISH,0.0,42.0,0.0,,42.0
55,1758447755.03636,10.952479124069214,0.00013303756713867188,87,87,,,127.0.0.1,127.0.0.1,6,1883,59666,24,43,255,62156,,,0.00013303756713867188,True,3.0,PUBLISH,0.0,41.0,0.0,,41.0
57,1758447755.036581,10.952700138092041,0.00013399124145507812,88,88,,,127.0.0.1,127.0.0.1,6,1883,59666,24,44,255,52029,,,0.00013399124145507812,True,3.0,PUBLISH,0.0,42.0,0.0,,42.0
59,1758447755.036792,10.952911138534546,0.0001270771026611328,86,86,,,127.0.0.1,127.0.0.1,6,1883,59666,24,42,255,27302,,,0.0001270771026611328,True,3.0,PUBLISH,0.0,40.0,0.0,,40.0
61,1758447755.036996,10.953114986419678,0.00012493133544921875,92,92,,,127.0.0.1,127.0.0.1,6,1883,59666,24,48,255,63305,,,0.00012493133544921875,True,3.0,PUBLISH,0.0,46.0,0.0,,46.0
63,1758447755.0372,10.953319072723389,0.0001270771026611328,89,89,,,127.0.0.1,127.0.0.1,6,1883,59666,24,45,255,35300,,,0.0001270771026611328,True,3.0,PUBLISH,0.0,43.0,0.0,,43.0
65,1758447755.037409,10.95352816581726,0.00012612342834472656,89,89,,,127.0.0.1,127.0.0.1,6,1883,59666,24,45,255,24507,,,0.00012612342834472656,True,3.0,PUBLISH,0.0,43.0,0.0,,43.0
67,1758447755.037658,10.953777074813843,0.0001690387725830078,87,87,,,127.0.0.1,127.0.0.1,6,1883,59666,24,43,255,63013,,,0.0001690387725830078,True,3.0,PUBLISH,0.0,41.0,0.0,,41.0
69,1758447755.037864,10.953983068466187,0.00012493133544921875,78,78,,,127.0.0.1,127.0.0.1,6,1883,59666,24,34,255,26447,,,0.00012493133544921875,True,3.0,PUBLISH,0.0,32.0,0.0,,32.0
71,1758447755.038072,10.954191207885742,0.0001251697540283203,86,86,,,127.0.0.1,127.0.0.1,6,1883,59666,24,42,255,50323,,,0.0001251697540283203,True,3.0,PUBLISH,0.0,40.0,0.0,,40.0
73,1758447755.038273,10.954392194747925,0.00011920928955078125,76,76,,,127.0.0.1,127.0.0.1,6,1883,59666,24,32,255,46782,,,0.00011920928955078125,True,3.0,PUBLISH,0.0,30.0,0.0,,30.0
75,1758447755.038402,10.954521179199219,7.700920104980469e-05,83,83,,,127.0.0.1,127.0.0.1,6,1883,59666,24,39,255,5429,,,7.700920104980469e-05,True,3.0,PUBLISH,0.0,37.0,0.0,,37.0
77,1758447759.632705,15.548824071884155,4.5942559242248535,46,46,,,127.0.0.1,127.0.0.1,6,59666,1883,24,2,254,61523,,,4.5942559242248535,True,12.0,PINGREQ,0.0,0.0,,,0.0
79,1758447759.632863,15.5489821434021,7.700920104980469e-05,46,46,,,127.0.0.1,127.0.0.1,6,1883,59666,24,2,255,57424,,,7.700920104980469e-05,True,13.0,PINGRESP,0.0,0.0,,,0.0
81,1758447766.061852,21.977971076965332,6.428941011428833,79,79,,,127.0.0.1,127.0.0.1,6,1883,59666,24,35,255,55274,,,6.428941011428833,True,3.0,PUBLISH,0.0,33.0,0.0,,33.0
83,1758447766.06198,21.97809910774231,6.389617919921875e-05,91,91,,,127.0.0.1,127.0.0.1,6,1883,59666,24,47,255,49997,,,6.389617919921875e-05,True,3.0,PUBLISH,0.0,45.0,0.0,,45.0
85,1758447766.06204,21.978159189224243,3.719329833984375e-05,88,88,,,127.0.0.1,127.0.0.1,6,1883,59666,24,44,255,31168,,,3.719329833984375e-05,True,3.0,PUBLISH,0.0,42.0,0.0,,42.0
87,1758447766.062095,21.978214025497437,3.3855438232421875e-05,87,87,,,127.0.0.1,127.0.0.1,6,1883,59666,24,43,255,63876,,,3.3855438232421875e-05,True,3.0,PUBLISH,0.0,41.0,0.0,,41.0
