source_file,frame.number,frame.time_epoch,frame.time_relative,frame.time_delta,frame.len,frame.cap_len,eth.src,eth.dst,ip.src,ip.dst,tcp.srcport,tcp.dstport,tcp.flags,tcp.len,tcp.window_size_value,tcp.time_delta,dnp3.len,dnp3.ctrl,dnp3.dst_addr,dnp3.src_addr,dnp3.dir,dnp3.prm,dnp3.func_code_link,dnp3.func_code,dnp3.func_name,dnp3.payload_len
live_capture,26,1782759302.409498,16.34765601158142,0.05196189880371094,59,59,,,127.0.0.1,127.0.0.1,56187,20003,24,15,255,0.05196189880371094,8,192,1,2,1,1,0,0.0,CONFIRM,15
live_capture,27,1782759302.46096,16.399117946624756,0.05146193504333496,59,59,,,127.0.0.1,127.0.0.1,56187,20003,24,15,255,0.05146193504333496,8,192,1,2,1,1,0,0.0,CONFIRM,15
live_capture,28,1782759302.508993,16.447150945663452,0.04803299903869629,54,54,,,127.0.0.1,127.0.0.1,20003,56187,24,10,254,0.04803299903869629,5,0,2,1,0,0,0,,UNKNOWN,10
live_capture,29,1782759303.523429,17.461586952209473,1.0144360065460205,86,86,,,127.0.0.1,127.0.0.1,56189,20003,24,42,255,1.0144360065460205,33,195,1,2,1,1,3,3.0,SELECT,42
live_capture,30,1782759303.624897,17.56305503845215,0.10146808624267578,108,108,,,127.0.0.1,127.0.0.1,56189,20003,24,64,255,0.10146808624267578,53,195,1,2,1,1,3,3.0,SELECT,64
live_capture,31,1782759303.725891,17.66404914855957,0.10099411010742188,101,101,,,127.0.0.1,127.0.0.1,56189,20003,24,57,255,0.10099411010742188,46,195,1,2,1,1,3,3.0,SELECT,57
live_capture,32,1782759303.827202,17.765360116958618,0.10131096839904785,114,114,,,127.0.0.1,127.0.0.1,56189,20003,24,70,255,0.10131096839904785,57,195,1,2,1,1,3,3.0,SELECT,70
live_capture,33,1782759303.928597,17.86675500869751,0.1013948917388916,87,87,,,127.0.0.1,127.0.0.1,56189,20003,24,43,255,0.1013948917388916,34,195,1,2,1,1,3,3.0,SELECT,43
live_capture,34,1782759304.030103,17.968261003494263,0.10150599479675293,94,94,,,127.0.0.1,127.0.0.1,56189,20003,24,50,255,0.10150599479675293,39,195,1,2,1,1,3,3.0,SELECT,50
live_capture,35,1782759304.131305,18.06946301460266,0.10120201110839844,117,117,,,127.0.0.1,127.0.0.1,56189,20003,24,73,255,0.10120201110839844,60,195,1,2,1,1,3,3.0,SELECT,73
live_capture,36,1782759304.233294,18.171452045440674,0.1019890308380127,116,116,,,127.0.0.1,127.0.0.1,56189,20003,24,72,255,0.1019890308380127,59,195,1,2,1,1,3,3.0,SELECT,72
live_capture,37,1782759304.334867,18.273025035858154,0.10157299041748047,101,101,,,127.0.0.1,127.0.0.1,56189,20003,24,57,255,0.10157299041748047,46,195,1,2,1,1,3,3.0,SELECT,57
live_capture,38,1782759304.436447,18.37460494041443,0.10157990455627441,93,93,,,127.0.0.1,127.0.0.1,56189,20003,24,49,255,0.10157990455627441,38,195,1,2,1,1,3,3.0,SELECT,49
live_capture,39,1782759304.537719,18.475877046585083,0.1012721061706543,118,118,,,127.0.0.1,127.0.0.1,56189,20003,24,74,255,0.1012721061706543,61,195,1,2,1,1,3,3.0,SELECT,74
live_capture,40,1782759304.642509,18.58066701889038,0.10478997230529785,98,98,,,127.0.0.1,127.0.0.1,56189,20003,24,54,255,0.10478997230529785,43,195,1,2,1,1,3,3.0,SELECT,54
live_capture,41,1782759304.745061,18.683218955993652,0.10255193710327148,103,103,,,127.0.0.1,127.0.0.1,56189,20003,24,59,255,0.10255193710327148,48,195,1,2,1,1,3,3.0,SELECT,59
live_capture,42,1782759304.846731,18.784888982772827,0.1016700267791748,94,94,,,127.0.0.1,127.0.0.1,56189,20003,24,50,255,0.1016700267791748,39,195,1,2,1,1,3,3.0,SELECT,50
live_capture,43,1782759304.948372,18.88652992248535,0.10164093971252441,99,99,,,127.0.0.1,127.0.0.1,56189,20003,24,55,255,0.10164093971252441,44,195,1,2,1,1,3,3.0,SELECT,55
live_capture,44,1782759305.050181,18.988338947296143,0.10180902481079102,108,108,,,127.0.0.1,127.0.0.1,56189,20003,24,64,255,0.10180902481079102,53,195,1,2,1,1,3,3.0,SELECT,64
live_capture,45,1782759305.151591,19.089749097824097,0.1014101505279541,86,86,,,127.0.0.1,127.0.0.1,56189,20003,24,42,255,0.1014101505279541,33,195,1,2,1,1,3,3.0,SELECT,42
live_capture,46,1782759305.252855,19.19101309776306,0.10126399993896484,97,97,,,127.0.0.1,127.0.0.1,56189,20003,24,53,255,0.10126399993896484,42,195,1,2,1,1,3,3.0,SELECT,53
live_capture,47,1782759305.35473,19.292887926101685,0.10187482833862305,98,98,,,127.0.0.1,127.0.0.1,56189,20003,24,54,255,0.10187482833862305,43,195,1,2,1,1,3,3.0,SELECT,54
live_capture,48,1782759305.456158,19.39431595802307,0.10142803192138672,116,116,,,127.0.0.1,127.0.0.1,56189,20003,24,72,255,0.10142803192138672,59,195,1,2,1,1,3,3.0,SELECT,72
live_capture,49,1782759306.561446,20.499603986740112,1.105288028717041,68,68,,,127.0.0.1,127.0.0.1,56190,20003,24,24,255,1.105288028717041,17,132,1,4,1,0,4,1.0,READ,24
live_capture,50,1782759306.642827,20.580985069274902,0.08138108253479004,68,68,,,127.0.0.1,127.0.0.1,56190,20003,24,24,255,0.08138108253479004,17,132,1,92,1,0,4,1.0,READ,24
live_capture,51,1782759306.724411,20.662569046020508,0.08158397674560547,68,68,,,127.0.0.1,127.0.0.1,56190,20003,24,24,255,0.08158397674560547,17,132,1,140,1,0,4,1.0,READ,24
live_capture,52,1782759306.80585,20.74400806427002,0.08143901824951172,68,68,,,127.0.0.1,127.0.0.1,56190,20003,24,24,255,0.08143901824951172,17,132,1,18,1,0,4,1.0,READ,24
live_capture,53,1782759306.88729,20.825448036193848,0.08143997192382812,68,68,,,127.0.0.1,127.0.0.1,56190,20003,24,24,255,0.08143997192382812,17,132,1,120,1,0,4,1.0,READ,24
live_capture,54,1782759306.968817,20.906975030899048,0.0815269947052002,68,68,,,127.0.0.1,127.0.0.1,56190,20003,24,24,255,0.0815269947052002,17,132,1,126,1,0,4,1.0,READ,24
live_capture,55,1782759307.050619,20.988776922225952,0.0818018913269043,68,68,,,127.0.0.1,127.0.0.1,56190,20003,24,24,255,0.0818018913269043,17,132,1,37,1,0,4,1.0,READ,24
live_capture,56,1782759307.132147,21.070305109024048,0.0815281867980957,68,68,,,127.0.0.1,127.0.0.1,56190,20003,24,24,255,0.0815281867980957,17,132,1,136,1,0,4,1.0,READ,24
live_capture,57,1782759307.214264,21.152421951293945,0.08211684226989746,68,68,,,127.0.0.1,127.0.0.1,56190,20003,24,24,255,0.08211684226989746,17,132,1,148,1,0,4,1.0,READ,24
live_capture,58,1782759307.296164,21.23432207107544,0.08190011978149414,68,68,,,127.0.0.1,127.0.0.1,56190,20003,24,24,255,0.08190011978149414,17,132,1,166,1,0,4,1.0,READ,24
live_capture,59,1782759307.377955,21.316112995147705,0.08179092407226562,68,68,,,127.0.0.1,127.0.0.1,56190,20003,24,24,255,0.08179092407226562,17,132,1,17,1,0,4,1.0,READ,24
live_capture,60,1782759307.459907,21.398065090179443,0.08195209503173828,68,68,,,127.0.0.1,127.0.0.1,56190,20003,24,24,255,0.08195209503173828,17,132,1,159,1,0,4,1.0,READ,24
live_capture,61,1782759307.541639,21.47979712486267,0.08173203468322754,68,68,,,127.0.0.1,127.0.0.1,56190,20003,24,24,255,0.08173203468322754,17,132,1,117,1,0,4,1.0,READ,24
live_capture,62,1782759307.623035,21.561192989349365,0.08139586448669434,68,68,,,127.0.0.1,127.0.0.1,56190,20003,24,24,255,0.08139586448669434,17,132,1,185,1,0,4,1.0,READ,24
